timestamp,attack,repeat,n_adversaries,pruning_level,local_epochs,attack_lr,train_loss,before_test_accuracy,before_watermark_accuracy,test_accuracy,test_loss,watermark_accuracy,watermark_loss,model_file
20260630_222619,finepruning,0,1,0.1,1,0.01,0.02572893190383911,76.6,99.0,70.3,0.8965233378410339,78.0,0.7657197570800781,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_222649,finepruning,0,1,0.2,1,0.01,0.02076997685432434,76.6,99.0,68.57,0.9183307026863098,88.0,0.5572394752502441,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_222721,finepruning,0,1,0.3,1,0.01,0.019628517687320712,76.6,99.0,65.85,0.9824015184402466,82.0,0.7576145553588867,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_222756,finepruning,0,1,0.4,1,0.01,0.02158758616447449,76.6,99.0,68.08,0.9189205425262451,78.0,0.9110909271240234,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_222834,finepruning,0,1,0.5,1,0.01,0.022247197389602662,76.6,99.0,60.69,1.1325175859451293,57.0,1.2399608612060546,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_222915,finepruning,0,1,0.6,1,0.01,0.023535930514335633,76.6,99.0,70.86,0.885645692062378,11.0,2.6135665130615235,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_222959,finepruning,0,1,0.7,1,0.01,0.027326222181320192,76.6,99.0,46.67,1.5085646492004394,12.0,3.2332696533203125,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223045,finepruning,0,1,0.8,1,0.01,0.04132778096199036,76.6,99.0,37.95,1.8637396612167358,10.0,2.633292388916016,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223134,finepruning,0,1,0.9,1,0.01,0.04678116369247436,76.6,99.0,13.59,2.2844137508392333,10.0,2.321122283935547,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223213,finepruning,1,1,0.1,1,0.01,0.02003176188468933,76.6,99.0,50.94,1.4886092969894409,84.0,0.8477481842041016,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223242,finepruning,1,1,0.2,1,0.01,0.02798007488250732,76.6,99.0,60.49,1.2110178922653199,62.0,1.3177900695800782,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223314,finepruning,1,1,0.3,1,0.01,0.019860413789749145,76.6,99.0,70.12,0.8678453040122985,65.0,0.9386719131469726,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223350,finepruning,1,1,0.4,1,0.01,0.02028294396400452,76.6,99.0,68.76,0.893014723110199,88.0,0.7207382965087891,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223428,finepruning,1,1,0.5,1,0.01,0.019237446665763856,76.6,99.0,63.49,1.0133195796966552,36.0,1.6940604400634767,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223509,finepruning,1,1,0.6,1,0.01,0.02413283121585846,76.6,99.0,53.27,1.4450201583862305,27.0,2.0499658966064453,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223553,finepruning,1,1,0.7,1,0.01,0.025852369308471686,76.6,99.0,49.08,1.498187948036194,12.0,3.8913278198242187,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223639,finepruning,1,1,0.8,1,0.01,0.04061526346206665,76.6,99.0,31.77,1.9512125644683838,14.0,3.1580546569824217,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223727,finepruning,1,1,0.9,1,0.01,0.04740348148345948,76.6,99.0,10.39,2.2841225093841553,10.0,2.310807800292969,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223806,finepruning,2,1,0.1,1,0.01,0.02530798923969269,76.6,99.0,60.06,1.1504695932388305,58.0,1.2840769958496094,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223835,finepruning,2,1,0.2,1,0.01,0.020821303129196167,76.6,99.0,62.97,1.079610496044159,72.0,0.8905019760131836,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223907,finepruning,2,1,0.3,1,0.01,0.021881306171417238,76.6,99.0,72.0,0.8350636761665344,86.0,0.775403938293457,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_223943,finepruning,2,1,0.4,1,0.01,0.02162973976135254,76.6,99.0,62.94,1.083236462020874,63.0,1.1771218490600586,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224021,finepruning,2,1,0.5,1,0.01,0.02788125908374787,76.6,99.0,64.71,1.015453235912323,70.0,1.1582688903808593,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224102,finepruning,2,1,0.6,1,0.01,0.022274837851524353,76.6,99.0,67.88,0.945057684135437,13.0,3.0411555480957033,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224146,finepruning,2,1,0.7,1,0.01,0.03030622673034668,76.6,99.0,62.13,1.1374416955947877,17.0,2.8041038513183594,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224232,finepruning,2,1,0.8,1,0.01,0.04109500288963318,76.6,99.0,19.48,2.106454859161377,7.0,2.764953155517578,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224321,finepruning,2,1,0.9,1,0.01,0.046701510429382316,76.6,99.0,15.34,2.281151294708252,10.0,2.319840850830078,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224400,finepruning,3,1,0.1,1,0.01,0.020486496567726137,76.6,99.0,62.03,1.085041357421875,83.0,0.6337106513977051,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224429,finepruning,3,1,0.2,1,0.01,0.031107958793640138,76.6,99.0,59.15,1.2246055465698242,37.0,1.6263352966308593,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224500,finepruning,3,1,0.3,1,0.01,0.023219369053840633,76.6,99.0,69.7,0.8910342628479004,81.0,0.7455806541442871,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224536,finepruning,3,1,0.4,1,0.01,0.02206550538539886,76.6,99.0,57.34,1.374209700012207,31.0,1.6286107635498046,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224615,finepruning,3,1,0.5,1,0.01,0.02048291218280792,76.6,99.0,65.84,1.0030656385421752,59.0,1.1011901473999024,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224656,finepruning,3,1,0.6,1,0.01,0.022572318077087403,76.6,99.0,67.31,0.9452848742485046,11.0,2.6310060119628904,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224744,finepruning,3,1,0.7,1,0.01,0.03282163596153259,76.6,99.0,59.84,1.316332632637024,20.0,2.835110321044922,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224830,finepruning,3,1,0.8,1,0.01,0.04261373281478882,76.6,99.0,40.69,1.954053273010254,11.0,2.3535228729248048,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
20260630_224919,finepruning,3,1,0.9,1,0.01,0.046140177726745606,76.6,99.0,12.33,2.285913105392456,10.0,2.3325679016113283,D:\论文-联邦学习\联邦学习代码\experiments\waffle_strict_cifar10_vgg16_cwaffle_iid_seed0\FedAvg_run1_20260630_174930_final_model.pt
